               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10443,            0.052596,            0.083752,            0.010329,             0.18518,            0.022045,           0.0072759,            0.083204,            0.040628,            0.073173,            0.070566,           0.0032704,           0.0032704
                   1,             0.07967,            0.051094,            0.065562,             0.40207,             0.10848,            0.069318,             0.02802,            0.075984,            0.034697,            0.058131,            0.040522,           0.0065602,           0.0065602
                   2,            0.075858,            0.045765,            0.054354,             0.51274,             0.11953,            0.069525,            0.023303,             0.07639,            0.032133,            0.053092,            0.010435,           0.0098059,           0.0098059
                   3,            0.072217,            0.044579,            0.047273,             0.58092,              0.1997,             0.12816,            0.053056,            0.068092,            0.031882,            0.046969,            0.009802,            0.009802,            0.009802
                   4,            0.065494,            0.042371,            0.042484,             0.58575,             0.20223,             0.17301,             0.07111,            0.063818,            0.031668,             0.04353,            0.009802,            0.009802,            0.009802
                   5,            0.061879,            0.041359,            0.038536,             0.60689,             0.20567,             0.21025,            0.089879,            0.064581,            0.030964,            0.039676,            0.009736,            0.009736,            0.009736
                   6,            0.059518,            0.040917,            0.035888,             0.62929,             0.23854,             0.25058,              0.1195,            0.056974,            0.031556,            0.038974,             0.00967,             0.00967,             0.00967
                   7,            0.058008,            0.040776,            0.033439,             0.58684,             0.25228,             0.25308,             0.10592,            0.058437,            0.031909,            0.038287,            0.009604,            0.009604,            0.009604
                   8,            0.057109,            0.040868,             0.03081,              0.7335,             0.25027,             0.27617,             0.12366,            0.060328,            0.031433,            0.034505,            0.009538,            0.009538,            0.009538
                   9,            0.056331,            0.040718,            0.029875,             0.71394,             0.29658,             0.31443,             0.14823,            0.057678,            0.032092,            0.040463,            0.009472,            0.009472,            0.009472
                  10,            0.054828,            0.040611,            0.027816,              0.6844,             0.28435,             0.29812,             0.13643,            0.054503,            0.032318,            0.033413,            0.009406,            0.009406,            0.009406
                  11,             0.05303,            0.038612,             0.02726,             0.75305,              0.2883,             0.31643,             0.13538,            0.055609,            0.032271,            0.031183,             0.00934,             0.00934,             0.00934
                  12,            0.052986,            0.038217,             0.02613,             0.78275,             0.31556,             0.34575,             0.17925,            0.054645,            0.031212,            0.029766,            0.009274,            0.009274,            0.009274
                  13,            0.051388,            0.036865,            0.025735,             0.67775,             0.32501,             0.34331,             0.16605,            0.053476,            0.031901,            0.029864,            0.009208,            0.009208,            0.009208
                  14,            0.050943,            0.039243,            0.024451,              0.7993,             0.30484,              0.3744,             0.19353,            0.052902,            0.031005,            0.028517,            0.009142,            0.009142,            0.009142
                  15,            0.051596,            0.039739,            0.023398,             0.78692,             0.29597,             0.35561,             0.17592,             0.05429,            0.032497,            0.030039,            0.009076,            0.009076,            0.009076
                  16,            0.050154,             0.03688,            0.022452,             0.78158,             0.32767,             0.36067,             0.17997,            0.053763,            0.032077,            0.030263,             0.00901,             0.00901,             0.00901
                  17,            0.050726,             0.03712,            0.022943,             0.73841,             0.36163,             0.37214,             0.18721,            0.053087,            0.031107,             0.02794,            0.008944,            0.008944,            0.008944
                  18,            0.049539,            0.037742,             0.02168,             0.70304,             0.39959,             0.40546,             0.19024,            0.051792,            0.030302,            0.026778,            0.008878,            0.008878,            0.008878
                  19,            0.048674,            0.036584,            0.020681,             0.65376,             0.37237,             0.38393,              0.1996,            0.051556,            0.032129,            0.026693,            0.008812,            0.008812,            0.008812
                  20,            0.048855,            0.037671,            0.020034,             0.78537,             0.34848,             0.39302,             0.20963,            0.050905,            0.030684,            0.024758,            0.008746,            0.008746,            0.008746
                  21,            0.048473,            0.036061,            0.019858,             0.80947,             0.34078,             0.38678,              0.2066,            0.050923,             0.03086,            0.025292,             0.00868,             0.00868,             0.00868
                  22,            0.047233,            0.036016,            0.019459,             0.85187,             0.33638,             0.39726,             0.20985,            0.051248,            0.032224,            0.026309,            0.008614,            0.008614,            0.008614
